setup_id,count_financial_results,max_severity_financial_results,sentiment_score_financial_results,profit_warning,count_corporate_actions,max_severity_corporate_actions,sentiment_score_corporate_actions,capital_raise,count_governance,max_severity_governance,sentiment_score_governance,board_change,count_corporate_events,max_severity_corporate_events,sentiment_score_corporate_events,contract_award,merger_acquisition,count_other_signals,max_severity_other_signals,sentiment_score_other_signals,broker_recommendation,credit_rating_change,posts_avg_sentiment,post_count,community_sentiment_score,bull_bear_ratio,rumor_intensity,trusted_user_sentiment,posts_relevance,engagement_score,unique_users,contrarian_signal_numeric,recommendation_count,buy_recommendations,sell_recommendations,hold_recommendations,coverage_breadth,consensus_rating,recent_upgrades,recent_downgrades,analyst_conviction_score,label
ENOG_2024-09-16,2,0.0,0.0,0,2,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,1,0.0,0.0,0,0,-0.41666666,8,0.0,0.0,0.1,0.0,0.5,0.4,6,0,12,44,0,40,3,2.5,0,0,0.5,negative
GROW_2024-09-12,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.4551282,26,0.0,1.0,0.2,0.0,0.7,0.5,20,0,132,528,0,132,4,2.5,0,0,0.5,neutral
ITM_2024-08-13,1,0.2,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.5,1,0,0,0.0,0.0,0,0,0.37567568,185,0.0,0.8,0.17,0.0,0.66,0.53,138,0,99,627,264,561,3,3.0,0,0,0.5,negative
EMAN_2024-07-30,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,2,0.0,0.0,0.5,0.0,0.7,0.5,2,0,29,58,0,0,1,2.5,0,0,0.5,positive
SPT_2024-07-02,1,0.0,0.0,0,0,0.0,0.0,0,6,0.0,0.0,0,0,0.0,0.0,0,0,1,0.0,0.0,0,0,0.25,4,0.0,0.0,0.5,0.0,0.6,0.4,1,0,12,24,0,0,1,2.0,0,0,0.67,negative
SBRE_2024-05-23,1,0.0,0.5,0,0,0.0,0.0,0,2,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,1,0.0,1.0,0.0,0.0,0.8,0.5,1,0,0,0,0,0,0,3.0,0,0,0.5,negative
DGE_2024-05-22,0,0.0,0.0,0,2,0.2,0.1,0,4,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.6,5,0.0,0.0,0.0,0.0,0.7,0.5,5,0,0,0,0,0,0,3.0,0,0,0.5,neutral
IGC_2024-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3.0,0,0,0.5,neutral
MGAM_2024-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,50,0,30,2,2.0,0,0,0.8,negative
LGEN_2025-05-29,0,0.0,0.0,0,0,0.0,0.0,0,3,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.30059522,104,0.0,0.16666667,0.06666667,0.0,0.6,0.48333332,88,0,33,264,33,176,3,2.5,0,0,0.5,neutral
REC_2025-07-01,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2,0.0,0.0,0,0,0.33333334,42,-0.033333335,0.6666667,0.033333335,0.033333335,0.7,0.6,12,0,54,54,0,0,2,2.5,1,0,0.5,negative
SXS_2025-06-23,,,,,,,,,,,,,,,,,,,,,,,0.2857143,21,0.0,0.0,0.65,0.0,0.8,0.55,7,0,42,364,0,126,3,2.0,0,0,0.6,positive
CNSL_2025-06-20,,,,,,,,,,,,,,,,,,,,,,,0.37619048,28,0.0,0.5,0.25,0.0,0.55,0.45,16,0,16,0,0,0,1,3.0,0,0,0.0,positive
SHC_2025-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,816,0,204,3,2.0,0,0,0.8,neutral
NWG_2025-06-20,2,0.0,0.0,0,5,0.5,0.0,1,3,0.0,0.0,0,0,0.0,0.0,0,0,1,0.0,0.0,0,0,0.36,25,0.0,0.0,0.25,0.0,0.55,0.45,17,0,66,726,0,374,3,2.0,0,0,0.8,negative
MTO_2025-06-20,1,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.5,6,0.0,0.0,0.5,0.0,0.7,0.5,1,0,62,368,0,62,4,2.5,0,0,0.5,neutral
OTB_2025-06-12,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,0.0,0.0,0,0,0.36,25,0.0,0.5,0.0,0.0,0.6,0.5,9,0,90,660,0,0,3,2.0,1,0,0.7,positive
IBST_2025-06-12,0,0.0,0.0,0,0,0.0,0.0,0,1,0.1,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,,,,,,,,,,,12,80,0,40,3,2.0,0,0,0.75,negative
ENOG_2025-05-30,,,,,,,,,,,,,,,,,,,,,,,0.125,16,0.0,0.0,0.5,0.0,0.7,0.5,6,0,12,44,0,40,3,2.5,0,0,0.5,negative
EMAN_2025-04-16,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.5416667,16,0.0,0.0,0.0,0.0,0.5,0.5,5,0,29,58,0,0,1,2.0,0,0,0.67,negative
IGP_2025-04-08,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.33333334,3,0.0,1.0,0.5,0.0,0.7,0.5,3,0,100,0,0,0,2,3.0,0,0,0.0,positive
LUCE_2025-03-28,1,0.0,0.7,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.55,10,0.0,0.0,0.0,0.0,0.5,0.5,8,0,73,219,0,0,3,2.0,0,0,0.75,negative
ONDO_2025-03-21,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.5,0.1,1,0,30,30,0,0,2,2.5,1,0,0.5,positive
INCH_2025-06-17,3,0.0,0.0,0,0,0.0,0.0,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,,,,,,,,,,,49,265,0,147,3,2.5,0,0,0.5,positive
SAFE_2025-02-26,1,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.5,2,0.0,1.0,0.0,0.0,0.7,0.5,1,0,39,156,39,273,3,2.5,0,0,0.5,positive
